$File has 224955801 lines.                                                                                                                            
Logger date 	 Logger time 	 N 	 N prime 	 X 	 Y 	 Z 
15/05/2014	08:00:01	28	1	-0.141	-1.609	1.531
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.094	-0.078	1.031
   	     	 	 	-0.094	-0.062	1.016
   	     	 	 	-0.109	-0.078	1.031
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.094	1.031
   	     	 	 	-0.109	-0.062	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.125	-0.062	1.016
   	     	 	 	-0.125	-0.078	1.031
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.078	1.031
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.125	-0.078	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.125	-0.062	1.031
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.141	-0.094	0.984
   	     	 	 	-0.094	-0.078	1
15/05/2014	08:00:02	52	1	-0.094	-0.078	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.125	-0.078	1.031
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.125	-0.078	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.062	1
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.062	1.031
   	     	 	 	-0.125	-0.094	1.016
   	     	 	 	-0.109	-0.062	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.062	1.016
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.094	-0.078	1.031
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.062	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.094	1.031
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.094	-0.109	0.984
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.062	1.016
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.094	1
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.125	-0.062	1.016
   	     	 	 	-0.109	-0.047	1.016
   	     	 	 	-0.125	-0.094	1.031
   	     	 	 	-0.094	-0.094	1.016
   	     	 	 	-0.109	-0.062	1
   	     	 	 	-0.109	-0.078	0.984
   	     	 	 	-0.109	-0.094	0.984
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.078	1.031
15/05/2014	08:00:03	52	1	-0.109	-0.078	1.031
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.062	1.016
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.094	1.016
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.078	1.016
   	     	 	 	-0.109	-0.078	1.016
   	     	 	 	-0.094	-0.094	1
   	     	 	 	-0.109	-0.078	1
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.109	-0.094	1
   	     	 	 	-0.094	-0.078	1
   	     	 	 	-0.109	-0.078	1.016
